Question,Answer
අපි අසරණ අයට උදවු කරමුද?,අපි උදව් කරමු
ඔබසතු වටිනාම දේ කුමක්ද?,මා සතු වටිනාම දේ මගේ ඉගනීමයි
ඔබ ධනවතෙක්ද?,නැහැ මම ධනවතෙක් නොවෙමි
ඔයාට නිදහස් වෙලාවට ඔබ මොනවද කරන්නේ?,මම නිදාගන්න කැමතියි
ඔබගේ බිරිදට දිග කොන්ඩයක් තිබේද?,ඔව් මගේ බිරිදට දිගු වරලසක් ඇත
අපි සති අන්තයේ නාන්න මුහුදට යුමුද?,හරි අපි යමු
ඔයාගේ පාසැල් පොත් මට ගන්න පුළුවන්ද?,හරි මම දෙන්නම්
ඔබ ලැජ්ජා සහගත තැනැත්තෙක්ද?,නැහැ මම සමාජශීලී තැනැත්තෙකි
ඔබ බොරු කාරයින්ට අහුවී තිබේද?,ඔවු මම රුවටී ඇත
ඔබට දිග කලිසම් කීයක් තිබේද?,මට දිග කලිසම් ජෝඩු දෙකක් තිබේ
ඔබ කුඩා දරුවන්ට කැමතිද?,ඔවු මම කුඩා දරුවන්ට ආසයි
ඔව කෙදිනක හෝ ගස් නැග ඇත්ද?,නැත මම ගස් නැග නැත
ඔබගේ ජීවිතයේ අවාසනාවන්තම දිනය කුමක්ද?,මගේ ආදරණියයන් වෙන්වු දිනය
ඔබ නිවසින් බැහැරව රැදී සිට ඇත්ද?,ඔව් මම නිවසෙන් බැහැරව රුදී සිට තිබේ
ඔබ නිතරම අසරණයින්ට උදව් කරන්නෙක්ද?,ඔව් මම අසරණයින්ට උදව් කරන්න කැමති
ඔබ නුවරඑළියට යන්න කැමතිද?,නැහැ මම එහි සීතලට කැමති නැහැ
ඔබ මැදපෙරදිග ජීවත් වෙන්න කැමතිද?,නැහ මම එහි රස්නයට කැමති නැහැ
ඔබට මෝටර් රථය හොදින් හැසිරිවිය හැකිද?,ඔව් මට හොදින් හැසිරිවිය හැකිය
ඔබ ගගණගාමියෙකු වීමට කැමතිද?,ඕව් මම ගගණගාමියකු වීමට කැමතියි
ඔබ වෙනත් පිටසක්වල ජීවින් දැක තිබේද?,නැත මම පිටසක්වල ජීවීන් දැක නැත
ඔබ පිටසක්වල ජීවීන් සිටින බව විශ්වාස කරයිද?,ඔව් මම විශ්වාස කරමි
ඔබගේ යහළුවන්ට ඔබ ණයට දී අත්ද?,ඔව් මම යාලුවන්ට ණටය දී තිබේ
අද සීතල දවසක් නේද?,ඔව් අද සීතල දවසක්ය
ඔයාට මම ගැන මොනවද හිතෙන්නෙ?,ඔයා හොඳ කෙනෙක් කියා හිතෙනව
ඔය පෙම්වතියකට ආදරය කර තිබේද?,ඔව් මම ආදරය කර තියෙනවා
ඔයා අදරයෙන් පැරදුන කෙනෙක්ද?,නැහැ මම ආදරයෙන් පැරදී නැහැ
ඔබ පෙම්වතියන් කී දෙනෙකුට ආදරය කර තිබේද?,මට පෙම්වතියන් තුන්දෙනෙකුට ආදරය කර තිබේ
ඔබ ඇය ගැන සිතන්නේ කුමක්ද?,ඇය අලංකාර තැනැත්තියකි
ඔබ උස් ස්ථාන වලට නැගීමට බයද?,නැත මට කදු නැගිය හැක
ඔබ බියගුළු තැනැත්තෙක්ද?,ඇතැම්විට මම බියගුළුය
ඔයා අසනීපයකට බෙහෙත් ගන්නෙක්ද?,නැත මම බෙහෙත් ගන්න ගියෙ නෑ
දැන පාඩම් කලා ඇති නේද?,නැහැ තව පාඩම් කරමු
දැන් ඔයා ගෙදර යනවද?,නැහැ මම ගෙදර යන්නෙ නැහ
ඔබ නිදාගන්න ආසයිද?,ඔව් මම නිදාගන්න රුසියෙක්මි
ජීවිතේ ජයගත් අය දකින්න ඔයා කැමතිද?,ගොඩක් ආසයි
දුප්පත් දරුවන්ට ඔයා උදව් කරනවද?,ඔව් අනිවාර්යෙන්ම
ඔයා උදේ කෑම කැවද?,බත් කෑව 
ලංකාවේ ලස්සනම මල් වත්ත කොහෙද තියෙන්නෙ?,පේරාදෙණිය මල් වත්ත
ඔයා ඉගෙනගත්තේ කොහෙද?,මගෙ පාසැල මහනුවර 
ඔයාගෙ ආසම කෑම මොකක්ද?,මම පාන් කන්න කැමතියි
ඔයාගෙ අම්මාගෙ ගම කොහෙද?,මහනුවර
ඔයාගෙ ආසම වාහනය මොකක්ද?,මම ආසයි කාර් එකකට
ඔයාට කවුරුහරි බැනල තියෙනවද?,ඔව් මට බැනල තියෙනව
ඔයාට ජීප් එකක් තියෙනවද?,නෑ මට ජීප් එකක් නෑ
ඔයා යන්න ආසම රට මොකක්ද?,මම එංගලන්තයට යන්න ආසයි
ඔයා ආසම සතා මොකාද ?,මම කැමතියි සිංහයාට
ඔයා කෑම පාලනය කරන කෙනෙක්ද?,නැහැ මම කෑම පාලනය කරන්නෙ නෑ
ඔයා විදේශ රැකියාවක් කිරීමට කැමතිද?,ඔව් මම කැමතියි
ඔයාගෙ අම්මා සැරයිද?,නැහැ අපෙ අම්මා හොදයි
ඔයා ආදරය කරන්න කැමතිද?,නැහැ මම ආදරය කරන්න කැමති නැහැ
ඔයා විහිළු කරන අයට කැමතිද?,ඔව් මම කැමතියි
ඔයා විවාහ වෙලා අවුරුදු කීයද?,අවුරුදු දෙකයි
අපි විනෝද චාරිකාවක් යමුද?,ඔව් අපි නුවර යමු
අද පාසැල නිවාඩු දෙනවාද?,ඔව් අද නිවාඩු දෙනවා
ආයෙ පාසැල් පටයන් ගන්නෙ කවදද?,පාසැල් බදාදා පටන් ගන්නවා
පුතා ඔයා කොහෙද යන්නෙ?,මම පන්ති යනව
ඔයා පාඩම් කරන්නෙ නැද්ද?,මට මහන්සියි අම්මෙ
අපි කදු නගිමුද?,බෑ මට බයයි
අපි දුර ගමනක් යමුද?,හරි අපි යමු
ඔයා කැමතිද මාත් එක්ක කතා කරන්න?,නැ මම කැමති නෑ කතා කරන්න
අපි තරහ වෙලා ඉමුද?,බෑ මට කැමති නෑ තරහ වෙන්න
දුව ඔයා ගෙදර වැඩ කළාද?,ඔව් අම්මෙ මම ගෙදර වැඩ කලා
ඔයා ආසම ඇඳුම මෙකක්ද?,මම ආසයි ගවුමක් අඳින්න
අපි පැදුරු සාඡ්ඡයක් දාමුද?,හරි මම ආසයි සිංදු කියන්න
මෙ ලිපිය ඔයාට ඔනැද?,නැහැ මට ඔනැ නෑ
මගේ අත් අකුරු ලස්සනද?,ඔව් මගේ අත් අකුරු ලස්සනයි
ඔයාට ලිපියක් ටයිප් කරන්න පුළුවන්ද?,බෑ මට ටයිප් කරන්න බෑ
ඔයා පළතුරු කෑවද?,නෑ මම පළතුරු කෑවෙ නෑ
ඔයා මගෙ රුකියාව දන්නවද?,ඔව් මම දන්නව
ඔයාගෙ නංගිගෙ නම මෙකක්ද?,මගෙ නංගි සංජීවනී
ඔයා මෙ රටට ආදරෙයිද?,ඔව් ගොඩක් ආදරෙයි
ඔයාට දේශපාලන පක්ෂයක් තියෙනවද?,නෑ මම කිසිම පක්ෂයකට කැමති නෑ
ඔයා රට යන්න ආසද?,ඔව් මම රටයන්න ආසයි
ඔයාට අක්කල කීදෙනෙක් ඉන්නවද?,මට අක්කල දෙදෙනෙකු ඉන්නවා
ඔයාගෙ මුල්ම ගුරුතුමා කවුද?,මගේ ගුරුවරයා ගුණවර්ධන සර්
ඔයා ගොඩක් මහත කෙනෙක්ද?,නෑ මම මහත නෑ
ඔයා මල්වලට ආසද?,මම මල්වලට ගොඩක් ආසයි
ඔයා ආසම මල මොකක්ද?,මම නෙළුම් මලට ආසයි
ඔයා බටහිර සංගීතයට ආසද?,නෑ මම අපරදිග සංගීතයට කැමතියි
ඔයාගෙ නංගි දක්ෂ ලමයෙක්ද?,ඔව් එයා දක්ෂ ලමයෙක්
ඔයාගෙ ගෙදර ගොඩක් දුරද?,නෑ අතලඟ
ඔයා මදුරුවො මරණවද?,ඔව් මම මදුරුවො මරණව
ඔයාගෙ දුව කසාද බැඳලද?,නෑ එයා අවිවාහකයි
අද දුම්රියේ කට්ටිය වැඩිද?,ඔව් අද ගොඩක් අය ඉන්නව
ඔයාට තේකක් ඔනෙද?,ඔව් මම ආසයි තේ බොන්න
ඔයා සෙල්ලම් කරන්න කැමතිද?,ඔව් මම සෙල්ලම් කරන්න කැමතියි
ඔයාගෙ ආසම සෙල්ලම මොකක්ද?,මම ආසයි ක්‍රිකට් ගහන්න
ඔයා වත්ත සුද්ද කරන්න කැමතිද?,නෑ මම මහන්සි වෙන්න කැමති නෑ
ඔයා උත්සවයට ගියාද?,ඔව් මම උත්සවයට ගියා
ඔයා උත්සවයට ගියේ කාත් එක්කද?,මම ගියේ අම්මත් එක්ක
එයා දක්ෂ ගායකයෙන් නේද?,නෑ එයා දක්ෂ ගායකයෙක් නෙවේ
අපි කොහොමද එයාට කතා කරන්නෙ?,නංගි කියල කතා කරන්න එයාට
එයා මට වඩා වැඩිමල් නේද?,ඔව් එයා මට වඩා වැඩිමල්
ඔයා චොකලට් කන්න කැමතිද?,ඔව් මම කන්න කැමතියි
අක්කා සැර කෑම කන්න කැමතිද?,ඔව් එයා සැර කෑමට කැමතියි
ඔයා මට ආදරෙයිද?,ඔව් මම ඔයාට ආදරෙයි
අපි චිත්‍රපටියක් බලන්න යමුද?,අද බෑ අපි හෙට යමු
ඔයා අම්මගෙන් අවසරය ගත්තද?,නෑ මම අවසර ගත්තෙ නැද්ද
ඔයා උදේ කෑවද?,ඔව් මම උදේ කෑම කෑව
ඔයා පන්සල් ගියාද?,නෑ මම පන්සල් ගියේ නෑ
ඔයාගෙ පවුලෙ අය සනීපෙන්ද?,අපි ඔක්කොම හොදින් ඉන්නව
ඔයා තනියමද ජීවත් වෙන්නෙ?,නෑ මම අම්මත් එක්ක ඉන්නෙ
අපි එයාට සල්ලි දෙමුද?,බෑ මට දෙන්න බෑ
එයා සල්ලි ඉල්ලුව නේද?,ඔව් එයා සල්ලි ඉල්ලුව
ඔයා එයාට ණයට සල්ලි දුන්නෙ ඇයි?,මම එයාට කැමති නිසා
එයා ගොඩක් ලස්සනයි නේද?,ඔව් එයා ලස්සනයි
ඔයාගෙ ජය වර්ණය මොකක්ද?,රතු පාට
අද උදේ වැස්ස නේද?,නෑ පොද වැටුණ
ඔයා වැස්සෙ තෙමන්න කැමතිද?,ඔව් ගොඩක් කැමති
ඔයා කොහෙද යන්න හදන්නෙ?,මම කොළඹ යනවා
අම්මට කියලද ගියේ?,නෑ අම්මට කීවෙ නෑ
එයාගෙ තාත්තා මැරිල නේද?,ඔව් එයාගෙ තාත්ත මැරිලා
ඔයාගෙ පෙම්වතා කවුද?,එයා සුරංග 
එයා ඔයාගෙ යාළුවෙක් නේද?,ඔව් එයා මගෙ යාළුවෙක්
ඔයා සීතලට කැමතිද?,නෑ මම කැමති නෑ
අපි උණුවෙන් තේකක් බොමුද?,බෑ මම කැමති නෑ තේ බොන්න
බබා හිනාවෙනව නේද?,ඔව් බබා හිනාවෙනව
බබාට සෙල්ලම් බඩු අරන් දුන්නද?,ඔව් අරන්දුන්නා
බස් ගාස්තුව කීයද?,රු.200
මට ණයක් දෙනවද?,දෙන්නම්
කවදද ඔයා ණය බේරන්නෙ?,මම අනිද්ද දෙන්නම්
ඔයා කොන්ඩෙ කැපුවද?,ඔව් මම කොන්ඩෙ කැපුවා
ඇයි ඔයා කොට ගවුම් අදින්නෙ?,මම ආස නිසා
ඔයා රඹුටන් කන්න කැමතිද?,ඕව් මම ආසයි
ඔයාගෙ සැප සනීප කොහොමද?,මම හොදින්
ඔයාගෙ බිරිඳගෙ නම මොකක්ද?,එයා කල්පනී
ඔයා නෙළුම් පොකුණට ගිහින් තියෙනවද?,ඔව් මම ගියා
අපි පළතුරු මිලට ගමුද?,ඔව් අපි ගමු
ඔයා මස් මාළු කනවද?,නෑ මම කන්නෙ නෑ
ඔයා නිර්මාංශී කෙනෙක්ද?,ඔව් මම මස් මාළු කන්නෙ නෑ
මගේ නිබන්ධනය ලියල දෙනවද?,හරි මම ලියන්නම්
ණය බේරන්න දින කීයක් ඉල්ලනවද?,මාසයක් ඉල්ලනව
අපි ලස්සන තැනකට යමුද?,හරි අපි යමු
ඔයා ලේ දන් දීල තියෙනවද?,නෑ කවදාවත් නැහැ
ඔයා ආසද බියර් බොන්න?,නෑ මම ආස නෑ
ඔයා කළුවරට බයයිද?,ඔව් මම ගොඩක් බයයි
ඔයා හොල්මන් වලට බයද?,නෑ මම බය නෑ
ඔයා කවදහරි හොල්මන් දකල තියෙනවද?,නෑ මම කවදාවත් දැකල නෑ
ඔයා අපේ ගෙදර එනවද?,හරි මම අද එන්නම්
ඔයාගෙ සපත්තු දෙක කීයද?,රු 2000
ඔයාගෙ කමිසෙ අළුත් එකක් නේද?,නෑ එක පරණ එකක්
ඔයාට නිනද ගියෙ නැද්ද?,නෑ නින්ද ගියෙ නෑ
ඔයාට තියෙන ප්‍රශ්න මොනවද?,මට ගොඩක් ප්‍රශ්ණ තියෙනව
ඔයා උගත් කෙනෙක්ද?,ඔව් මට උපාධියක් තියෙනව
ඔයා නැටුමට දක්ෂද?,මම දක්ෂ සංගීතයට
අපි පෝයට සිල් ගමුද?,අපි සිල් ගමු පෝයට
අද දවස හොදයි නේද?,අද හොද දවසක්
අද රූ අදිරිනීතිය දානව නේද?,නෑ හෙට ඇදිරි නීතිය දාන්නෙ
ඔයාට කොරෝනා හැදිල තියෙනවද?,නෑ මට කොරෝන හැදිල නෑ
ඔයා දුෂ්කර පළාතක සේවය කරල තියෙනවද?,නෑ මම සේවය කරල නෑ
ඔයාගෙ සාරිය කීයද?,එක ගොඩක් ගනන්
අපි හෙට ගමට යමුද?,බෑ අනිද්දට යමු
ඔයා යාල ගිහින් තියෙනවද?,නෑ මම ගිහින් නෑ
ඔයා කතරගම ගිනින් තියෙනවද?,ඔව් මම ගිහින් තියෙනවා
ඔයාගෙ දුවගෙ නම මොකක්ද?,එයා කල්පනී
ඔයට බත් කවන්නද?,එපි මට බඩගිනි නෑ
පන්තියෙ දක්ෂම ළමය කවුද?,එයා තමයි සංජය
ක්‍රිකට්වලට දක්ෂ කවුද?,එයා තමයි එරංග
ඔයාට මහන්සිද?,නෑ මට මහන්සි නෑ
ඔයා සනීපෙන් ඉන්නවද?,ඔව් මම සනීපෙන්
රටේ තත්වය කොහොමද?,ඉතාම අවධානම්
ඔයා පෝලිමේ දවස් කීයක් හිටියද?,දවස් පහක් හිටිය
තව තෙල් ගහගත්තෙ නැද්ද?,නෑ තාම නෑ
කවද්ද ගෑස් එන්නෙ?,එන දවසක් නෑ
තවම තෙල් නැවක් අවෙ නැද්ද?,තාම ආවෙ නෑ
ඇමතිවරු මොනවද දැන් කරන්නෙ?,එයාලට කරන්න දෙයක් නෑ
ජනාධිපති පදවියෙන් අස්වුනාද?,නෑ තාම නෑ
ඔයා අස්වීමෙ ලිපිය දුන්නද?,ඔව් අද දුන්නා
නාමල් දක්ෂ රියදුරෙක්ද?,ඔව් එයා දක්ෂයි
ඔයා මූදෙ නාල තියෙනවද?,ඔව් නාල තියෙනව
ඔයා බැංකුවෙන් සල්ලි ගත්තද?,නෑ මම ගත්තෙ නෑ
ගමන් ගාස්තුව කීයද?,ලොකු ගානක් නෑ
හොටේල් එකක් හම්බවුනාද?,ඔව් හොයාගත්ත
සෙල්ලම් කරල මහන්සිද?,නෑ තාම නෑ
ඔයා යන පාර දන්නවද?,ඔව් දන්නව
පළතුරු රසද?,ඔව් ගොඩක් රසයි
අපි රූට බත් කමුද?,අපි කමු
එයා ගුටිකාලද?,ඔව් එයාට තුවාලයි
ඔයා රෝහලට ගියේ නැද්ද?,නෑ දැන් මට හොදයි
ඔයාට දැන් සනීපද?,දැන් හොදයි
ඔයාට සල්ලි ගොඩක් තියෙනවද?,නෑ මට සල්ලි නෑ
ඔයා ගෙදර වැඩ කළාද?,ඔව් මම ගොඩක් වැඩ කළා
ඔයාගෙ ගෙදර කවුද ඉන්නෙ?,අම්මා ඉන්නව
අම්ම අසනීපෙන්ද?,නෑ එයා සනීපෙන්
ඔයාගෙ අක්ක විවාහ වෙලාද?,නෑ එයා විවාහ වෙලා නෑ
ඔයාගෙ මල්ලිට බයිසිකලයක් තියෙනවද?,ඔව් එයාට තියෙනව
ඔයාගෙ ගෙදර ශීතකරණයක් තියෙනවද?,නෑ අපේ ගෙදර නෑ
කවුද මගෙ සල්ලි හොරකම් කලේ?,කවුරු හරි ගන්න ඇති
ඔයා ගෑස් එකෙන්ද උයන්නෙ?,නෑ මම දරලිපෙන් උයන්නෙ
ඔයා මගෙ බඩු බෑග් එක ගත්තද?,ඔව් මම ගත්ත
අපි සිංදුවක් කියමුද?,හා මම ආසයි සංදු කියන්න
ඔයාට නටන්න පුළුවන්ද?,බෑ මට නටන්න බෑ
ඔයට හිනාවෙන්න බැරිද?,මම කැමති නෑ
අයි ඔයා මෙච්චර සැර?,මම සැර නෑ
ඔයාගෙ පෙම්වතා කරුණාවන්තද?,නෑ එයා සැරයි
ඔයා එයාව හමබවෙන්නෙ කොහෙදිද?,මල්වත්තෙදි
අපි හවසට මුණගැහෙමුද?,හා මම කැමති
ඔයා ආස කොහෙට යන්නද?,මම ආසයි නුවර යන්න
ඔයාගෙ සාරියෙ ගාන කීයද?,රු.5000යි
ඔයා මල්වත්තට ගියාද?,නෑ මම ගියෙ නෑ
අපි උදේ හම්බවෙමුද?,බෑ මට වැඩ තියෙනවා
ඔයාට එයා තෑග්ගක් දුන්නද?,ඕව් සාරියක් තෑගි දුන්නා
ඔයා බස් එකේ ගිහින් තියෙනවද?,ඔව් මම යන්නෙ බස් එකේ
දැන් බස් ගාස්තුව වැඩි කරලද?,ඔව් දැන් ගොඩක් ගනන්
ඔයා ගාන ක්‍රීම් එක මොකක්ද?,එක ගොඩක් ගනන්
එයා ගොඩක් ලස්සන වුනේ කොහොමද?,එයා ක්‍රීම් ගානව
ඔයාට මල් පොකුරක් දෙන්නද?,මම මල් වලට ආසයි
මම දෙන තෑගි ඔයා ගන්නවද?,බෑ මට ගන්න බෑ
ඔයාට ඉස්සර දේවල් මතකද?,නෑ මට මතක නෑ
ඔයා දැන් කොහෙද ඉන්නෙ?,මම ගම්පහ ඉන්නෙ
ඔයාගෙ ගෙදර ගොඩක් ලස්සනද?,ඔව් ගොඩක් ලස්සනයි
ඔයා අයිස්ක්‍රීම් කන්න ආසද?,නෑ මම කැමති නෑ
ඔයාට චොකලට් අරන් දෙන්නද?,හා මම ආසයි 
ඔයා ඇවිදින්න ආසද?,නෑ මට මහන්සි
අපි ඈත රටකට යමුද?,මම ආසයි
ඔව ගුවන්යානයෙන් ගිහින් තියෙනවද?,ඔව් මම ගිහින් තියෙනවා
ඔයා කවද්ද රට යන්නෙ?,සිකුරාද රට යනවා
ඔයාට වීස ලැබුණද?,නෑ මට වීස ලැබුනෙ නෑ
ඔයා කොච්චර කාලයක් රට ඉන්නවද?,මාස තුනක් රට ඉන්නව
අපිව බලන්න එනවද?,ඔව් මම එන්නම්
ඔයා කවදද විවාහ වෙන්නෙ?,තවම දිනයක් නෑ
ඔයා නැවේ ගිහින් තියෙනවද?,නෑ මම ගිහින් නෑ
ඔයා අපිට ඇයි බොරු කීවෙ?,නෑ මම බොරු කීවෙ නෑ
ඔයා කොන්ඩෙ කැපුවද?,ඔව් මම කොන්ඩෙ කැපුවා
ඔයා අඹ කන්න ආසද?,ඔව් මම ආසයි
මට ඔයාගෙ නම කියනවද?,මම සංජීවනී
ඔයා ලස්සනවුනේ කොහොමද?,මම වතුර බොනවා
ඔයාගෙ ගෙවල් කොහෙද තියෙන්නෙ?,මම මහනුවර
ඔයා මාව බලන්න ආයෙත් එනවද?,නෑ මම කවදාවත් එන්නෙ නෑ
ඔයා බෙහෙත් බොනවද?,ඔව් මම බෙහෙත් බොනව
ඔයා තනියම යන්න බයයිද?,නෑ මම බය නෑ
ලංකාවෙ ජාතික ක්‍රීඩාව මොකක්ද?,දැල්පන්දු
ඔයා ජනප්‍රිය නිලියක් වෙන්න ආසද?,නෑ කොහෙත්ම නෑ
ඔයාගෙ බර කීයද?,කිලෝ 50
ඔයා ලස්සන වෙන්න හදනවද?,ඔව් මම ආසයි
ඔයා රූට බත් කෑවද?,නෑ මම පාන් කෑව
ඔයා යන්න ඉන්න රට මොකක්ද?,මම යන්නෙ එංගලන්තෙට
ඔයා නැවත කසාද බැන්දද?,ඔව් මම දෙසරයක් බැන්දා
ඔයාගේ තාත්ත කොහෙද වැඩ කරන්නෙ?,යාපනේ
ඔයා නපුරු ලමයෙක්ද?,ඔව් මම ටිකක් නපුරුයි
ඔයාගෙ ගෙදර මල් පැල තියෙනවද?,මම මල් වලට කැමති නෑ
ඔයා අඩන්න කැමතිද?,නැ මම හිනාවෙන්න කැමතියි
ඔයට මොකක් කියලද කතා කරන්නෙ?,මගේ නම කියන්න
ඔයා අවිවාහකද?,නෑ මම විවාහකයි
ඔයා විවාහ වුනේ කාත් එක්කද?, එයා වෛද්‍යවරයෙක්
ඔයාගෙ පෙම්වතා තරහ වෙලාද?,ඔව් එයා තරහ වෙලා
ඔයාගෙ පෙම්වතාගෙ ගම කොහෙද?,එයා කොළඹ
ඔයාගෙ භාෂාව මොකක්ද?,සිංහල
ඔයා කසාද බඳින්න ආසද?,ඔව් මම ආසයි
ඔයා එයාව කසාද බඳනවමද?,ඔව් එයාව තමයා මම බඳන්නෙ
ඔයා එයාට ආදරෙයිද?,ඔව් මම ගොඩක් ආදරෙයි
ඔයාගෙ පෙම්වතා කොහෙද ඉන්නෙ?,එංගලන්තයෙ
ඔයාගෙ නංගි කවදද ලංකාවට එන්නෙ?,එයා එන්නෙ ලබන මාසෙ
ඔයගෙ අයියා කොහෙද ඉන්නෙ?,එයා ඉන්නෙ ලන්ඩන් වල
අයි එයා වෙනස් උනෙ?,එවා කරක කෙනෙක් නිසා
ඔයාගෙ පෙම්වතා බොරුකාරයෙක්ද?,නෑ එයා හොද කෙනෙක්
අපේ රටේ ඇමතිවරුන්ට මොකද වෙලා තියෙන්නෙ?,එයාල කපටි අය
ඇයි ඔයා මට කතාකලේ?,ඔයාට පාඩම් කියා දෙන්න
ඔයාගෙ තාත්තා කොහෙද ජීවත් වෙන්නෙ?,තාත්ත ඉන්නෙ යාපනේ
ඔයාට දැන් හොදයිද?,දැන් මට ගොඩක් හොදයි
අපි ඉංදියාවට යමුද?,බැහැ මම ආස නෑ
අපි කොහොමද තනියම ජීවත් වෙන්නෙ?,අපි තාත්ත ලගට යමු
ඔයට වීසා ගන්න පුළුවන් වුනාද?,මට වීස ගන්න බැරි උනා
අපි අරගලයට යමුද?,යමු මමත් එනව යන්න
අරගල කරන්නෙ කවුද?,අපේ රටේ තරුණ පිරිස
අරගලයට සහය දෙමුද?,අපි සහය දක්වමු
අපි ඔක්කොම එකතු වෙමුද?,මමත් කැමතියි
ඔයාට බඩගිනිද?,නෑ මම බත් කෑව
ඔයා සත්තු මරණවද?,නෑ මම සත්තුන්ට ආදරෙයි
ඔයා බස් එකට ගොඩඋනාද?,ඔව් මම බස්එකට නැග්ග
අද දුම්රිය නෑ නේද?,ඔව් අද නෑ
මේ බස් එක කොහෙටද යන්නෙ?,බස් එක යන්නෙ නුගේගොඩට
ඔයා මහන්සිවෙලා වැඩ කළාද?,නෑ මම මහන්සි වෙන්න කැමති නෑ
ඔයා ලස්සන කෙනෙක්ද?,ඔව් මම රූමත්
ඔයා බිරියානි කන්න ආසද?,නෑ මම මස් කන්නෙ නෑ
ඔයාගෙ නම මොකක්ද?,මම තාරංගා
ඔයා මෙහෙට ආවෙ ඇයි?,මම ආවෙ ඉගෙනගන්න
ඔයාගෙ අම්මා අසනීපයි නේද?,නෑ දැන් අම්මට සනීපයි
ඔයා විවාහවෙලාද?,නෑ තාම නෑ
ඔයා විවාහ වෙන්න කෙනෙක් ඉන්නවද?,ඔව් මට කෙනෙක් ඉන්නව
ඔයා කොහෙටද යන්නෙ?,මම යන්නෙ අනුරාධපුරයට
ඔයා පෝසත් කෙනෙක්ද?,නෑ මට සල්ලි නෑ
ඔයා දුක්විදල තියෙනවද?,නෑ මම දුක්විදල නෑ
ඔයා බය කාටද?,මම කාටවත් බය නෑ
ජීවිතේ ලස්සනද?,ඔව් ලස්සනයි
ඔයා චිත්‍ර අදින්න කැමතිද?,නෑ මම සිංදුකියන්න කැමතියි
ඔයා කතා කලේ කාටද?,මම නංගිට කතා කලා
ඔයා චිත්‍ර තරඟයට ගියාද?,නෑ මම තරඟකලේ නෑ
ඔයා ගණන් හැදුවද?,ඔව් ගණන් හැදුවා
ඔයා සෙල්ලම් කළාද?,නෑ මම නිදාගත්ත
ඔයා ඇයි රංඩු වෙන්නෙ?,එයා මට ගැහුවා
ඔයාට අක්කා බැන්නද?,ඔව් මට අක්කා බැන්නා
ඔයා ලඟ සල්ලි තියෙනවද?,දැන් සල්ලි නෑ
මට පාඩම් කියා දෙනවද?,හරි මම කියාදෙන්නම්
ඔයාගෙ තත්වය කොහොමද?,දැන් සාමාන්‍යයි
ඔයාගෙ ගාන කීයද?,නැ මට සල්ලි එපා
මම ගණක් කියා දෙන්නද?,හා මම කැමතියි
මට චිත්‍ර පාටකර දෙන්න පුළුවන්ද?,මම පාටකරන්නම්
ඔයාව බයකරාද?,ඔව් මම ගොඩක් බයයි
ඔයා කීයක් මට දෙනවද?,ටිකක් දෙන්නම්
ඔයා සල්ලි කීයක් මට දෙනවද?,රු.2000 දෙන්නම්
ඔයත් එනවද කෑම උයන්න?,හා මම එන්නම්
ඔයාගෙ අතේ සල්ලි තියෙනවද?,නෑ මගෙ ලඟ සල්ලි නෑ
බඩු වලට කීයක් කියනවද?,ගොඩක් ගණන්
ලාබ බඩු නැද්ද?,ලාබ බඩු ඉවර වෙලා
මට රුකියාවක් හොයල දෙනවද?,මම හොයල දෙන්නම්
ඔයාට රුකියාවක් කරන්න පුඵවන්ද?,මම ඉගෙනගෙන තියෙනව
ඔයාගෙ සුදුසුකම් මොනවද?,මට උපාධියක් තියෙනව
ඔයා ඉංග්‍රීසි සමත්ද?,මම ඉංග්‍රීසි දන්නව
ඔයාට විද්‍යාවට සම්මානයක් තියෙනවද?,මම විද්‍යාව පාස්
ඔයාට ඩිප්ලෝමා එකක් තියෙනවද?,මට ඩිප්ලෝමා එකක් නෑ
ඔයාගෙ පවුලෙ කී දෙනෙක් ඉන්නවද?,පස්දෙනෙක් පවුලෙ ඉන්නවා
ඔයා අද පන්සල් ගියාද?,අද පන්සලි ගියේ නෑ
ඔයා නාමල් පූජා කළාද?,මගෙ ලඟ නාමල් නෑ
ඔයාගෙ වගකීම මොකක්ද?,ලමයින්ට පාඩම් කියාදීමයි
ඔයා වැරදි වැඩ කරල තියෙනවද?,ඔව් මම වැරදි කරල තියෙනවා
ඔයාට දුක්බර කාලයක් තිබ්බද?,ඔව් මට කරදර කාලයක් තිබ්බා
ඔයාගෙ සුන්දරම කාලය මොකක්ද?,මගේ ලමා කාලය සුන්දරයි
ඔයා කවදහරි වංචාවලට අහුවෙලා තියෙනවද?,ඔව් මට වංචාකරල තියෙනව
ඔබ හැගීම්බරද?,නැහැ මම බුද්ධමත් 
ඔබ බුද්ධිමත්ව කටයුතු කලාද?,ඔව් මම බුද්ධිමත්ය
ඔවා කෙටිකතා කියවලා තියෙනවද?,ඔව් මම කියවලා තියෙනව
ඔයාට  අනුන්ගෙ දුක දැනෙනවද?,ඔව් මම දුක හදුනනවා
අද දවස කවද්ද?,අද සිකුරාදා දිනයක්
ඔයාට ලෙඩ හැදිල තියෙනවද?,ඔව් මට ලෙඩවෙලා තියෙනවා
මෙ මාසය කුමක්ද?,අගෝස්තු මාසයයි
ඔබගේ තාර්කික දැනුම කොපමණද?,මට දැනුම තිබෙනවා
